=== economy-table121.xlsx ===
Cell A1 | value='Office Copy' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Ledger' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=True
Cell G2 | value='Date:' | fill=FF00B0F0 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell I2 | value='2015-03-11 00:00:00' | fill=FF00B0F0 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell G3 | value='Invoice No:' | fill=FF00B0F0 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell I3 | value='1001' | fill=FF00B0F0 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell G4 | value='Customer ID:' | fill=FF00B0F0 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell I4 | value='12' | fill=FF00B0F0 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A6 | value='Sr No.' | fill=FFFFFF00 | rows=[5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B6 | value='Description' | fill=FFFFFF00 | rows=[5] | cols=[1, 2, 3, 4, 5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='Quantity' | fill=FFFFFF00 | rows=[5] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H6 | value='Rate' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='Total' | fill=FFFFFF00 | rows=[5] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell A7 | value='1' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Product 1' | fill=00000000 | rows=[6] | cols=[1, 2, 3, 4, 5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='1' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
