=== economy-table69.xlsx ===
Cell A1 | value='ACCOUNT #' | fill=FF00B0F0 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B1 | value='FULL NAME' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Revenue' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell C2 | value='APR' | fill=FFFFFF00 | rows=[1, 2] | cols=[2, 3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='MAY' | fill=FFFFFF00 | rows=[1, 2] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='JUN' | fill=FFFFFF00 | rows=[1, 2] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell A4 | value='942546' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Big Joe' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='3085605' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='Incline' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='2622764.25' | fill=None | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='Decline' | fill=None | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='2922700.25' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='Incline' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A5 | value='748448' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Maria Calux' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='1212774.75' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Incline' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='1140008.265' | fill=None | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='Decline' | fill=None | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='2963723.6025' | fill=None | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='Incline' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A6 | value='2087427' | fill=FF00B0F0 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Giorgio Armani' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='1017399.91' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Incline' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='956355.9154' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='Incline' | fill=None | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='1311009.50475' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
