=== sport-table03.xlsx ===
Cell B1 | value='GAME WEEK 2, SATURDAY AUGUST 19TH 2023' | fill=FFFFFF00 | rows=[0, 1] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] | col_header=True | row_header=False | metadata=False
Cell B3 | value='GAME 1, 12.30PM' | fill=FFFFFF00 | rows=[2] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell E3 | value='GAME 2, 3PM' | fill=FFFFFF00 | rows=[2] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell H3 | value='GAME 3, 5.30PM' | fill=FFFFFF00 | rows=[2] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell K3 | value='TOTAL BROUGHT FORWARD FROM LAST WEEK' | fill=FF00B0F0 | rows=[2, 3] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L3 | value='CORRECT GAME SCORE = 1 POINT' | fill=FFFFFF00 | rows=[2, 3] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='CORRECT TEAM SCORE = 1 POINT' | fill=FFFFFF00 | rows=[2, 3] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='TOTAL POINTS AFTER THIS WEEK' | fill=FF00B0F0 | rows=[2, 3] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell B4 | value='ARSENAL' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='NOTTINGHAM FOREST' | fill=FFFFFF00 | rows=[3] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell E4 | value='BRIGHTON & HOVE ALBION' | fill=FFFFFF00 | rows=[3] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F4 | value='LUTON TOWN' | fill=FFFFFF00 | rows=[3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell H4 | value='NEWCASTLE UNITED' | fill=FFFFFF00 | rows=[3] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I4 | value='ASTON VILLA' | fill=FFFFFF00 | rows=[3] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell A5 | value='MARC HILTON' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='2' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='1' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E5 | value='3' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='1' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H5 | value='1' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='1' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K5 | value='0' | fill=FF00B0F0 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L5 | value='1' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='4' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='5' | fill=FF00B0F0 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell A6 | value='JEFF LYNCH' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='2' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='1' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E6 | value='1' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='0' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H6 | value='2' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
