=== economy-table120.xlsx ===
Cell A1 | value='Reference' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='To' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Invoice Number' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Date' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Invoice Total' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='Day' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Commissionable' | fill=FFFFFF00 | rows=[0] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Commission Amount' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Holiday Inn Docklands' | fill=00000000 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B2 | value='417' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value=''201509211758303583306'' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='2015-09-21' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='21' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='Monday' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='1' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='1.05' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Holiday Inn Docklands' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='408' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value=''201509221822548423327'' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='2015-09-22' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
